sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer,gp_noun,gp_verb
The rich soiled the gardens.,Did someone rich soil the gardens?,s23_4,npvp_nongp,simple_question,Yes,No,rich,soil
The blind spot the birds.,Is there a blind spot?,s24_1,npvp_gp,gp_question,No,Yes,blind,spot
The blind spot the birds.,Did someone blind spot the birds?,s24_2,npvp_gp,simple_question,Yes,No,blind,spot
The blind spotted the birds.,Is there a blind spot?,s24_3,npvp_nongp,gp_question,No,Yes,blind,spot
The blind spotted the birds.,Did someone blind spot the birds?,s24_4,npvp_nongp,simple_question,Yes,No,blind,spot
The sick leave the building.,Is someone on a sick leave?,s25_1,npvp_gp,gp_question,No,Yes,sick,leave
The sick leave the building.,Did someone sick leave the building?,s25_2,npvp_gp,simple_question,Yes,No,sick,leave
The sick left the building.,Is someone on a sick leave?,s25_3,npvp_nongp,gp_question,No,Yes,sick,leave
The sick left the building.,Did someone sick leave the building?,s25_4,npvp_nongp,simple_question,Yes,No,sick,leave
The simple answer the questionnaire.,Is the answer simple?,s26_1,npvp_gp,gp_question,No,Yes,simple,answer
The simple answer the questionnaire.,Did someone simple answer the questionnaire?,s26_2,npvp_gp,simple_question,Yes,No,simple,answer
The simple answered the questionnaire.,Is the answer simple?,s26_3,npvp_nongp,gp_question,No,Yes,simple,answer
The simple answered the questionnaire.,Did someone simple answer the questionnaire?,s26_4,npvp_nongp,simple_question,Yes,No,simple,answer
The just cause the revolt.,Is the cause just?,s27_1,npvp_gp,gp_question,No,Yes,just,cause
The just cause the revolt.,Did someone just cause the revolt?,s27_2,npvp_gp,simple_question,Yes,No,just,cause
The just caused the revolt.,Is there a just cause?,s27_3,npvp_nongp,gp_question,No,Yes,just,cause
The just caused the revolt.,Did someone just cause the revolt?,s27_4,npvp_nongp,simple_question,Yes,No,just,cause
The sharp edge the tiles.,Is the edge sharp?,s28_1,npvp_gp,gp_question,No,Yes,sharp,edge
The sharp edge the tiles.,Did someone sharp edge the tiles?,s28_2,npvp_gp,simple_question,Yes,No,sharp,edge
The sharp edged the tiles.,Is the edge sharp?,s28_3,npvp_nongp,gp_question,No,Yes,sharp,edge
The sharp edged the tiles.,Did someone sharp edge the tiles?,s28_4,npvp_nongp,simple_question,Yes,No,sharp,edge
The poor taste the soup.,Is soup tasting bad?,s29_1,npvp_gp,gp_question,No,Yes,poor,taste
The poor taste the soup.,Did someone poor taste the soup?,s29_2,npvp_gp,simple_question,Yes,No,poor,taste
The poor tasted the soup.,Is soup tasting bad?,s29_3,npvp_nongp,gp_question,No,Yes,poor,taste
The poor tasted the soup.,Did someone poor taste the soup?,s29_4,npvp_nongp,simple_question,Yes,No,poor,taste
The free press the grapes.,Is the press free?,s30_1,npvp_gp,gp_question,No,Yes,free,press
The free press the grapes.,Did someone free press the grapes?,s30_2,npvp_gp,simple_question,Yes,No,free,press
The free pressed the grapes.,Is the press free?,s30_3,npvp_nongp,gp_question,No,Yes,free,press
The free pressed the grapes.,Did someone free press the grapes?,s30_4,npvp_nongp,simple_question,Yes,No,free,press
The clean sweep the floors.,Is there a clean sweep?,s31_1,npvp_gp,gp_question,No,Yes,clean,sweep
The clean sweep the floors.,Did someone clean sweep the floors?,s31_2,npvp_gp,simple_question,Yes,No,clean,sweep
The clean swept the floors.,Is there a clean sweep?,s31_3,npvp_nongp,gp_question,No,Yes,clean,sweep
The clean swept the floors.,Did someone clean sweep the floors?,s31_4,npvp_nongp,simple_question,Yes,No,clean,sweep
The private school the recruits.,Is the school private?,s32_1,npvp_gp,gp_question,No,Yes,private,school
The private school the recruits.,Did a soldier with the rank private school the recruits?,s32_2,npvp_gp,simple_question,Yes,No,private,school
The private schooled the recruits.,Is the school private?,s32_3,npvp_nongp,gp_question,No,Yes,private,school
The private schooled the recruits.,Did a soldier with the rank private school the recruits?,s32_4,npvp_nongp,simple_question,Yes,No,private,school
The public transport the supplies.,Is there a public transportations?,s33_1,npvp_gp,gp_question,No,Yes,public,transport
The public transport the supplies.,Did the public help transport the supplies?,s33_2,npvp_gp,simple_question,Yes,No,public,transport
The public transported the supplies.,Is there a public transportations?,s33_3,npvp_nongp,gp_question,No,Yes,public,transport
The public transported the supplies.,Did the public help transport the supplies?,s33_4,npvp_nongp,simple_question,Yes,No,public,transport
The blind date the new girl.,Is the date blind?,s34_1,npvp_gp,gp_question,No,Yes,blind,date
The blind date the new girl.,Did someone blind date the new girl?,s34_2,npvp_gp,simple_question,Yes,No,blind,date
The blind dated the new girl.,Is the date blind?,s34_3,npvp_nongp,gp_question,No,Yes,blind,date
The blind dated the new girl.,Did someone blind date the new girl?,s34_4,npvp_nongp,simple_question,Yes,No,blind,date
The weak point the way.,Is there a weak point?,s35_1,npvp_gp,gp_question,No,Yes,weak,point
The weak point the way.,Did someone weak point the way?,s35_2,npvp_gp,simple_question,Yes,No,weak,point
The weak pointed the way.,Is there a weak point?,s35_3,npvp_nongp,gp_question,No,Yes,weak,point
The weak pointed the way.,Did someone weak point the way?,s35_4,npvp_nongp,simple_question,Yes,No,weak,point
The hard drive the cattle.,Is there a hard drive?,s36_1,npvp_gp,gp_question,No,Yes,hard,drive
The hard drive the cattle.,Did someone hard drive the cattle?,s36_2,npvp_gp,simple_question,Yes,No,hard,drive
The hard drove the cattle.,Is there a hard drive?,s36_3,npvp_nongp,gp_question,No,Yes,hard,drive
The hard drove the cattle.,Did someone hard drive the cattle?,s36_4,npvp_nongp,simple_question,Yes,No,hard,drive
The quick fix the leaks.,Is there a quick fix?,s37_1,npvp_gp,gp_question,No,Yes,quick,fix
The quick fix the leaks.,Did someone quick fix the leaks?,s37_2,npvp_gp,simple_question,Yes,No,quick,fix
The quick fixed the leaks.,Is there a quick fix?,s37_3,npvp_nongp,gp_question,No,Yes,quick,fix
The quick fixed the leaks.,Did someone quick fix the leaks?,s37_4,npvp_nongp,simple_question,Yes,No,quick,fix
The strong drink the ale.,Is the drink strong?,s38_1,npvp_gp,gp_question,No,Yes,strong,drink
The strong drink the ale.,Did someone strong drink the ale?,s38_2,npvp_gp,simple_question,Yes,No,strong,drink
The strong drank the ale.,Is the drink strong?,s38_3,npvp_nongp,gp_question,No,Yes,strong,drink
The strong drank the ale.,Did someone strong drink the ale?,s38_4,npvp_nongp,simple_question,Yes,No,strong,drink
The bold move the furniture.,Is the move bold?,s39_1,npvp_gp,gp_question,No,Yes,bold,move
The bold move the furniture.,Did someone bold move the furniture?,s39_2,npvp_gp,simple_question,Yes,No,bold,move
The bold moved the furniture.,Is the move bold?,s39_3,npvp_nongp,gp_question,No,Yes,bold,move
The bold moved the furniture.,Did someone bold move the furniture?,s39_4,npvp_nongp,simple_question,Yes,No,bold,move
The slow burn the letters.,Is there a slow burn?,s40_1,npvp_gp,gp_question,No,Yes,slow,burn
The slow burn the letters.,Did someone slow burn the letters?,s40_2,npvp_gp,simple_question,Yes,No,slow,burn
The slow burned the letters.,Is there a slow burn?,s40_3,npvp_nongp,gp_question,No,Yes,slow,burn
The slow burned the letters.,Did someone slow burn the letters?,s40_4,npvp_nongp,simple_question,Yes,No,slow,burn
